Image,Method,Precision,Recall,F1 Score
Image 1,otsu,0.9313404110851803,0.8926691980467285,0.9115948662875654
Image 2,otsu,0.9657904837371699,0.9296427613741323,0.9473719367600935
Image 3,filled_mask,0.9602080059764156,0.969820872684507,0.9649904999979028
